test_code,model,variable,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,n
TRIG,bayesian,cv,1.0081871033285636,0.9216290640371104,1.1028745457154026,7996
LD,bayesian,mu,1.4976171951672992,1.1198245513789622,2.0028648778050933,521
LD,bayesian,sigma,1.4872178798211413,1.173836638305535,1.8842630651335843,521
LD,bayesian,cv,1.42149633773985,1.1238940337497991,1.797902451235578,521
VITDT,bayesian,mu,1.051806038031339,0.8967379176071895,1.2336892640730162,1848
VITDT,bayesian,sigma,1.100617106343971,0.9396704511921288,1.28913068750876,1848
VITDT,bayesian,cv,1.0511982080071796,0.8986424848864754,1.2296521598988293,1848
TSH,bayesian,mu,1.1329101477939771,1.032771427945206,1.2427584344855316,4810
TSH,bayesian,sigma,1.1611498357790233,1.0671452088376292,1.263435313173765,4810
TSH,bayesian,cv,1.0864928472328677,0.9862957383569284,1.1968689118080598,4810
P,bayesian,mu,1.026223236580577,0.8758114214605082,1.2024667702342844,1277
P,bayesian,sigma,1.0789392642613769,0.9187058559490776,1.2671193161844891,1277
P,bayesian,cv,1.0632625903547543,0.9060841364228502,1.2477067974185445,1277
PROINR,bayesian,mu,1.278653168181619,1.0734526897807883,1.5230796290004804,692
PROINR,bayesian,sigma,1.2045514326876243,0.9906092708016708,1.4646987432447534,692
PROINR,bayesian,cv,1.1513260575659403,0.9445810137468044,1.403322395368034,692
PROPAT,bayesian,mu,1.3207834719501472,1.1068783314468464,1.5760259553517666,674
PROPAT,bayesian,sigma,1.1627246717488244,0.9718056789685462,1.391151226578877,674
PROPAT,bayesian,cv,1.1275413542081587,0.939740154809254,1.3528734501162434,674
HSCRP,bayesian,mu,1.55107275151076,1.286692423249016,1.869776052931304,1586
HSCRP,bayesian,sigma,1.45680851362906,1.2564285107200648,1.6891458823756051,1586
HSCRP,bayesian,cv,1.4380625834159455,1.1576092355152492,1.786461208475476,1586
MG,bayesian,mu,1.283450638406112,1.0717876949503906,1.536914025964164,654
MG,bayesian,sigma,1.0585779341860562,0.8725678434306853,1.2842408199914772,654
MG,bayesian,cv,0.9929913287005894,0.8203274858382699,1.201997733706269,654
FER,bayesian,mu,1.0872558208451737,0.8902110742071175,1.327915653054073,853
FER,bayesian,sigma,1.2239920529023474,1.0322561987647134,1.4513417767419812,853
FER,bayesian,cv,1.257519188970066,1.043193908989812,1.5158778219470763,853
BILD,bayesian,mu,1.419469468204689,1.2122147318637788,1.6621589543524249,1056
BILD,bayesian,sigma,1.393471435529147,1.1300414188410413,1.7183110364460037,1056
BILD,bayesian,cv,1.1002853441851657,0.9177844849567758,1.3190763828238876,1056
