test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
MCHC,bayesian,1,1,cv,1.0861383994569045,0.9798965227361094,1.2038991826206369,9307
MCV,bayesian,1,1,mu,1.0945880299530633,0.9868332274351064,1.2141088504190196,9242
MCV,bayesian,1,1,cv,1.158973300157598,1.048985130156848,1.2804939477810815,9242
MG,bayesian,1,1,mu,1.3213738788098994,0.990541851380704,1.762700813870056,413
MG,bayesian,1,1,cv,0.7777180661668588,0.5820467975106307,1.0391696905286578,413
MONOC,bayesian,1,1,mu,1.151709968968547,1.0207898454759037,1.2994210889736395,6931
MONOC,bayesian,1,1,cv,1.015765167390872,0.9023918334093038,1.1433823280364457,6931
,bayesian,1,1,mu,0.9105788965138828,0.82997110409402,0.9990154147372742,12748
,bayesian,1,1,cv,1.0802348517719296,0.9796974252072328,1.1910895190276631,12748
NONHDL,bayesian,1,1,mu,0.7755512484282789,0.6538193935457213,0.9199478401470832,5385
NONHDL,bayesian,1,1,cv,1.0951955253273722,0.9399584363283624,1.276070507311331,5385
P,bayesian,1,1,mu,0.9975096661271392,0.769714652052012,1.292720011713951,765
P,bayesian,1,1,cv,0.8979119372875022,0.6957365893982282,1.1588377834501289,765
PLT,bayesian,1,1,mu,0.920810880766311,0.8261206861052109,1.0263544932339894,9357
PLT,bayesian,1,1,cv,1.27926612631183,1.1635826671307852,1.4064508420053077,9357
PROINR,bayesian,1,1,mu,1.3332315068996772,0.975746260509397,1.8216890219615305,333
PROINR,bayesian,1,1,cv,1.1403339538599175,0.8246997270346894,1.576769681980379,333
PROPAT,bayesian,1,1,mu,1.3586588768590688,0.9568198756161236,1.9292596137588425,303
PROPAT,bayesian,1,1,cv,1.2495270847992597,0.8729330039468695,1.788588504029073,303
RBC,bayesian,1,1,mu,0.8486450191400794,0.7317339930495111,0.9842352212035818,8676
RBC,bayesian,1,1,cv,1.4564458800874909,1.2507558122478617,1.695962218085988,8676
RDWCV,bayesian,1,1,mu,1.5119573836158164,1.343133492446017,1.7020014337571618,8855
RDWCV,bayesian,1,1,cv,1.1926307523023325,1.0648233143982582,1.3357785203463743,8855
TNEUT,bayesian,1,1,mu,1.4710712900631602,1.3265110600205237,1.6313853730059429,7089
TNEUT,bayesian,1,1,cv,0.8474838529120843,0.7523822763473591,0.9546063264987388,7089
TP,bayesian,1,1,mu,1.0642488456628063,0.9588987578267496,1.1811732951470304,10627
TP,bayesian,1,1,cv,1.0250511263914834,0.9285182436620676,1.131619996579044,10627
TRIG,bayesian,1,1,mu,1.0409127263245357,0.860278060825489,1.2594756895051975,4451
TRIG,bayesian,1,1,cv,1.0019855037147551,0.8231148726091111,1.2197264112992028,4451
